ID,FishType,Name,Description,Habitat,CatchTier,Attractor,Rarity,SpecialLootID,Difficulty,Experience,Movement,CatchMissionCount1,CatchMissionCount2,CatchMissionCount3,BoonBonus
102,Large,Roamano,Roamano keep to deep water in order to stay out of the light. They tend to stalk their prey before making an appearance. They see you long before you seen them.,Normal,0,Omnivore,Uncommon,0,Medium,15,"FAST, these guys move at top speed, using jumps and zig zags to attempt to throw you off course, and will do everything in their power to stay away from the boat. Their stamina is also among the highest of any of the small fish.",5,10,50,5
103,Large,Roamano,Roamano keep to deep water in order to stay out of the light. They tend to stalk their prey before making an appearance. They see you long before you seen them.,Normal,0,Omnivore,Rare,0,Medium,20,"FAST, these guys move at top speed, using jumps and zig zags to attempt to throw you off course, and will do everything in their power to stay away from the boat. Their stamina is also among the highest of any of the small fish.",5,10,50,5
104,Large,Roamano,Roamano keep to deep water in order to stay out of the light. They tend to stalk their prey before making an appearance. They see you long before you seen them.,Normal,0,Omnivore,Epic,0,Medium,25,"FAST, these guys move at top speed, using jumps and zig zags to attempt to throw you off course, and will do everything in their power to stay away from the boat. Their stamina is also among the highest of any of the small fish.",5,10,50,5
105,Large,Roamano,Roamano keep to deep water in order to stay out of the light. They tend to stalk their prey before making an appearance. They see you long before you seen them.,Normal,0,Omnivore,Legendary,0,Medium,30,"FAST, these guys move at top speed, using jumps and zig zags to attempt to throw you off course, and will do everything in their power to stay away from the boat. Their stamina is also among the highest of any of the small fish.",5,10,50,5
106,Large,Roroaata,"Roroaata circle in the depths, only surfacing to devour prey that catch their interest. Oftentimes, you will only glimpse a massive shadow. It’s true appearance is revealed when it uses its immense strength to jump above the waves to catch it’s prey.",Normal,0,Vegetarian,Common,0,Medium,10,It might feel like you are reeling in a living rock.. Its movements are slow but it seems to never tire out.,5,10,50,3
107,Large,Roroaata,"Roroaata circle in the depths, only surfacing to devour prey that catch their interest. Oftentimes, you will only glimpse a massive shadow. It’s true appearance is revealed when it uses its immense strength to jump above the waves to catch it’s prey.",Normal,0,Vegetarian,Uncommon,0,Medium,15,It might feel like you are reeling in a living rock.. Its movements are slow but it seems to never tire out.,5,10,50,3
108,Large,Roroaata,"Roroaata circle in the depths, only surfacing to devour prey that catch their interest. Oftentimes, you will only glimpse a massive shadow. It’s true appearance is revealed when it uses its immense strength to jump above the waves to catch it’s prey.",Normal,0,Vegetarian,Rare,0,Medium,20,It might feel like you are reeling in a living rock.. Its movements are slow but it seems to never tire out.,5,10,50,3
109,Large,Roroaata,"Roroaata circle in the depths, only surfacing to devour prey that catch their interest. Oftentimes, you will only glimpse a massive shadow. It’s true appearance is revealed when it uses its immense strength to jump above the waves to catch it’s prey.",Normal,0,Vegetarian,Epic,0,Medium,25,It might feel like you are reeling in a living rock.. Its movements are slow but it seems to never tire out.,5,10,50,3
110,Large,Roroaata,"Roroaata circle in the depths, only surfacing to devour prey that catch their interest. Oftentimes, you will only glimpse a massive shadow. It’s true appearance is revealed when it uses its immense strength to jump above the waves to catch it’s prey.",Normal,0,Vegetarian,Legendary,0,Medium,30,It might feel like you are reeling in a living rock.. Its movements are slow but it seems to never tire out.,5,10,50,3
111,Large,Soltongfisk,"The Soltongfisk is probably the closest in size to a kaiju without being classified as one, and directly competes with the large sharks in the reefs on the rare occasion that they meet as they compete over the depth.",Normal,0,Carnivore,Common,0,Medium,10,"Sharp and fast, this power house will use its head to its advantage to throw you off the line, and break stuff in its way in the effort to hit you with debris. It may even shoot spikes at you…",5,10,50,3
112,Large,Soltongfisk,"The Soltongfisk is probably the closest in size to a kaiju without being classified as one, and directly competes with the large sharks in the reefs on the rare occasion that they meet as they compete over the depth.",Normal,0,Carnivore,Uncommon,0,Medium,15,"Sharp and fast, this power house will use its head to its advantage to throw you off the line, and break stuff in its way in the effort to hit you with debris. It may even shoot spikes at you…",5,10,50,3
113,Large,Soltongfisk,"The Soltongfisk is probably the closest in size to a kaiju without being classified as one, and directly competes with the large sharks in the reefs on the rare occasion that they meet as they compete over the depth.",Normal,0,Carnivore,Rare,0,Medium,20,"Sharp and fast, this power house will use its head to its advantage to throw you off the line, and break stuff in its way in the effort to hit you with debris. It may even shoot spikes at you…",5,10,50,3
114,Large,Soltongfisk,"The Soltongfisk is probably the closest in size to a kaiju without being classified as one, and directly competes with the large sharks in the reefs on the rare occasion that they meet as they compete over the depth.",Normal,0,Carnivore,Epic,0,Medium,25,"Sharp and fast, this power house will use its head to its advantage to throw you off the line, and break stuff in its way in the effort to hit you with debris. It may even shoot spikes at you…",5,10,50,3
115,Large,Soltongfisk,"The Soltongfisk is probably the closest in size to a kaiju without being classified as one, and directly competes with the large sharks in the reefs on the rare occasion that they meet as they compete over the depth.",Normal,0,Carnivore,Legendary,0,Medium,30,"Sharp and fast, this power house will use its head to its advantage to throw you off the line, and break stuff in its way in the effort to hit you with debris. It may even shoot spikes at you…",5,10,50,3
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Normal,Medium,Omnivore,Common,0,Medium,10,"Quick movements with a lot of stamina, it will use broad turns and dives to attempt to break the line.",5,10,50,5
,,,,Normal,Medium,Omnivore,Uncommon,0,Medium,15,"Quick movements with a lot of stamina, it will use broad turns and dives to attempt to break the line.",5,10,50,5
,,,,Normal,Medium,Omnivore,Rare,0,Medium,20,"Quick movements with a lot of stamina, it will use broad turns and dives to attempt to break the line.",5,10,50,5
,,,,Normal,Medium,Omnivore,Epic,0,Medium,25,"Quick movements with a lot of stamina, it will use broad turns and dives to attempt to break the line.",5,10,50,5
,,,,Normal,Medium,Omnivore,Legendary,0,Medium,30,"Quick movements with a lot of stamina, it will use broad turns and dives to attempt to break the line.",5,10,50,5
